District code,District name,Population,Total_Power_Parity,Households_with_Internet,State,Latitude,Longitude,Literacy_Rate,Sex_Ratio
356,Lohardaga,461790,388,351,Jharkhand,23.488796043165483,84.6605169064748,56.0,99.0
358,Palamu,1939869,1515,2155,Jharkhand,24.196925968109337,84.20310842824594,53.0,93.0
359,Latehar,726978,547,340,Jharkhand,23.72511185840708,84.48298743362837,48.0,97.0
362,Dumka,1321442,1323,1193,Jharkhand,24.275006125574265,87.27662450229711,51.0,98.0
363,Jamtara,791042,540,808,Jharkhand,23.97873318077801,86.95325080091534,54.0,95.0
364,Ranchi,2914253,3805,22538,Jharkhand,23.184235061391547,85.31781937244203,66.0,95.0
366,Gumla,1025213,849,831,Jharkhand,23.078532948929148,84.55056787479396,55.0,99.0
367,Simdega,599578,496,423,Jharkhand,22.608760391198054,84.59193691931536,57.0,100.0
371,Jharsuguda,579505,870,2498,Orissa,21.827058566978184,83.93581682242987,70.0,95.0
372,Sambalpur,1041099,1548,5231,Orissa,21.515752380952385,84.34958483245157,68.0,98.0
374,Sundargarh,2093437,3130,12787,Orissa,22.06354819277107,84.50524819277099,64.0,97.0
